"date","variable","strat","type","median","mean","sd","lower_90","lower_50","lower_20","upper_20","upper_50","upper_90"
2021-10-31,"R",NA,"estimate",1.10823403669391,1.10906407276093,0.0562743796963943,1.01768531657938,1.07413537214409,1.09452663962515,1.12100182540972,1.14417640937801,1.20350624213426
2021-11-01,"R",NA,"estimate",1.10267676793352,1.10346677050622,0.0560445161199752,1.01146832488887,1.06846053257918,1.09030592283905,1.1153505769397,1.13854358533482,1.19732604225823
2021-11-02,"R",NA,"estimate",1.09711051347482,1.09759309915681,0.0562195202947688,1.00622215392684,1.06225320928107,1.08479677918704,1.10980998506803,1.13227501843547,1.18950632258802
2021-11-03,"R",NA,"estimate",1.0912752933687,1.09152015238388,0.0565661051269596,1.0020648455244,1.05604613942895,1.07853114815547,1.10389565437504,1.12586964926477,1.18411409262771
2021-11-04,"R",NA,"estimate",1.08486977410448,1.08527578803934,0.0568207012447754,0.996289874908381,1.0504011050573,1.07222627143028,1.09889153273498,1.12018349471449,1.17580804711311
2021-11-05,"R",NA,"estimate",1.07899412169044,1.07881911523137,0.0567970097130775,0.988469993934994,1.04422378578849,1.06554584981416,1.09220041280867,1.11347995168526,1.17380202469941
2021-11-06,"R",NA,"estimate",1.07192883399002,1.07203045628083,0.0564566360386346,0.978687593347802,1.03731500027787,1.05953771614511,1.08465381478997,1.10593561826883,1.16532483301212
2021-11-07,"R",NA,"estimate",1.06410540580492,1.06471243182658,0.0559232132781741,0.973725561328967,1.02963086099287,1.05092379573533,1.07701825146036,1.09862228364976,1.15961659025628
2021-11-08,"R",NA,"estimate",1.05509141380516,1.05660286792096,0.0554280333827907,0.966947580652829,1.02045896643322,1.04190881889699,1.06859654490059,1.09053777338069,1.14919207856164
2021-11-09,"R",NA,"estimate",1.04469767305021,1.04739961416152,0.0551908016985822,0.959588577421592,1.01089605380986,1.03247947915485,1.05822769957723,1.08047399820668,1.14270878038741
2021-11-10,"R",NA,"estimate",1.03343924722471,1.03679685745861,0.0552814568868056,0.950727199556838,1.00090514694103,1.0217618783823,1.04649227647066,1.070117608769,1.13369108192982
2021-11-11,"R",NA,"estimate",1.02028492125335,1.02453129961027,0.0555509368596862,0.939029152553559,0.988787095837153,1.00760459294823,1.03358601286457,1.05795419954483,1.12029378742822
2021-11-12,"R",NA,"estimate",1.00579914438493,1.01043388072938,0.0556918699172506,0.925725438591925,0.974480117707897,0.993204006151276,1.01925851556233,1.04424080250413,1.10829233620781
2021-11-13,"R",NA,"estimate",0.990519535449337,0.994478925286186,0.0553967063853326,0.90950899040721,0.957460042023735,0.977738484578663,1.00422772581593,1.02757609376197,1.09208715176672
2021-11-14,"R",NA,"estimate",0.972951161358045,0.976819574412785,0.0545186735177714,0.893438865213569,0.941471231236093,0.96162433822118,0.986111066852427,1.00911410248492,1.07198871302313
2021-11-15,"R",NA,"estimate",0.954704600080608,0.957798690305069,0.0531574069747615,0.875325719606601,0.923733433996106,0.942625030745964,0.967007582368706,0.990310324558857,1.04952346970826
2021-11-16,"R",NA,"estimate",0.935194690213827,0.937929356548003,0.0516372502999367,0.857340529366981,0.904525528458591,0.923793723475287,0.947118672339218,0.96966143992242,1.02676907468219
2021-11-17,"R",NA,"estimate",0.91636437348256,0.917847301946001,0.0503811368755558,0.836594968776315,0.886736254623824,0.904771411599335,0.927635411892875,0.948631361779253,1.00224802379567
2021-11-18,"R",NA,"estimate",0.89806677339368,0.898245505627587,0.0497203986906669,0.816407947624174,0.86729725894785,0.88699720027585,0.90852214725609,0.928862047701709,0.981163720876875
2021-11-19,"R",NA,"estimate",0.880858142111203,0.879805269653271,0.0497330745904671,0.794838790118243,0.848932609066005,0.869300816155288,0.891134046231673,0.911126085750132,0.959604806807691
2021-11-20,"R",NA,"estimate",0.864830565813885,0.863136668975085,0.05021505573489,0.777281217380645,0.832021515439866,0.853287063827202,0.876295169062986,0.896208195030816,0.943232904115541
2021-11-21,"R",NA,"estimate",0.851127570327746,0.84873580792856,0.050800795484034,0.761634511583575,0.817067328239469,0.839059320235923,0.862837920930361,0.882626669079966,0.927495688086245
2021-11-22,"R",NA,"estimate",0.840256955062348,0.83695970850051,0.0511433743895654,0.75140326212056,0.804550228080037,0.827670161464261,0.851301368807814,0.870647404141129,0.915307357352786
2021-11-23,"R",NA,"estimate",0.83188576543646,0.828014829970291,0.0510553811071543,0.739395200996452,0.795497769357002,0.819198461838198,0.842565677125451,0.861441275278915,0.904676075944283
2021-11-24,"R",NA,"estimate",0.825822005219844,0.821953768827047,0.0505702512296584,0.734191555997374,0.791028302619296,0.813419248517512,0.836041955691657,0.854891913364096,0.898096954042705
2021-11-25,"R",NA,"estimate",0.821256672079913,0.818676528668444,0.0499206540794623,0.733072658933928,0.788108011852454,0.809601067180141,0.833452702612924,0.851324124254874,0.893175503186235
2021-11-26,"R",NA,"estimate",0.819773792674873,0.817936409884845,0.0494373091599227,0.734896917619685,0.787632419511117,0.808194672166257,0.831339888924303,0.850337794328742,0.893521078501961
2021-11-27,"R",NA,"estimate",0.820273850274047,0.819353876197707,0.0493919060026524,0.738367982971019,0.787894839891252,0.808736753350733,0.830574695246818,0.8513868082253,0.897642960579791
2021-11-28,"R",NA,"estimate",0.821119123179338,0.822442701438516,0.0498592932004673,0.742836133171071,0.791371207991165,0.810137947940432,0.832768504589358,0.852742606959769,0.904674533719895
2021-11-29,"R",NA,"estimate",0.824014464868086,0.826650358590013,0.0506947299465631,0.746710810222131,0.795370156183095,0.813391437131268,0.835386442143338,0.855398305327665,0.912420692815034
2021-11-30,"R",NA,"estimate",0.828393117600141,0.831409842217717,0.0516418310037083,0.750218649915356,0.798496374801788,0.817461556030608,0.839664024348575,0.86036646947277,0.921038076821298
2021-12-01,"R",NA,"estimate",0.832505482074721,0.836195405776619,0.0524770332970671,0.75376705133862,0.802599147928702,0.821145499354047,0.845071721751927,0.865907939020051,0.927940540425623
2021-12-02,"R",NA,"estimate",0.837650248704414,0.840572736411704,0.0530848743403464,0.75829360224087,0.804908493817889,0.825995248901108,0.849929695793043,0.871207839060279,0.933046689146753
